n,method,passed,trials,preparation_s,first_application_s,fresh_total_s,warm_median_s,max_weighted_hs_relative,numeric_table_bytes
2,permqit,5,5,0.004038238,0.010807155,0.014845393000000002,6.9782e-05,1.4146032557020207e-16,376
2,factorial_float64,5,5,0.00027633400000000004,0.000291213,0.000567126,9.6994e-05,1.4231133921743726e-16,256
2,hahn_float64,5,5,0.000375492,0.000137631,0.000529033,4.8652e-05,9.895281531843532e-17,72
4,permqit,5,5,0.009140734000000001,0.010088584000000001,0.019426204000000002,0.00011859400000000001,1.4402403811631379e-16,1632
4,factorial_float64,5,5,0.000299968,0.00040824400000000004,0.000695488,0.000211671,1.7146762412350916e-16,624
4,hahn_float64,5,5,0.000607642,0.000218094,0.0008197740000000001,0.00012692,1.6791609834543967e-16,304
6,permqit,5,5,0.028547659000000003,0.005188054,0.033519708,0.000223885,1.5381820906641187e-16,4808
6,factorial_float64,5,5,0.000355965,0.0005904500000000001,0.0009402730000000002,0.000428042,2.784068016236696e-16,1152
6,hahn_float64,5,5,0.0010141640000000001,0.000361245,0.0013754090000000002,0.000256887,2.0102948033123553e-16,880
8,permqit,5,5,0.085095484,0.006590399,0.091492189,0.00040781300000000003,1.4849847549436436e-16,11384
8,factorial_float64,5,5,0.00034080700000000005,0.0008403330000000001,0.001171671,0.0006719440000000001,6.482932951359786e-16,1840
8,hahn_float64,5,5,0.0015559290000000002,0.000525497,0.002064423,0.00042345200000000005,3.990587481325571e-16,2040
10,permqit,5,5,0.188301622,0.005940336,0.19537648900000001,0.0006078230000000001,1.4188957576297155e-16,22744
10,factorial_float64,5,5,0.00036881900000000005,0.0013001050000000002,0.0016689240000000002,0.0010541790000000001,1.9576585322782912e-15,2688
10,hahn_float64,5,5,0.002513815,0.000796089,0.003309904,0.000665772,4.77748105031848e-16,4088
12,permqit,5,5,0.436373383,0.006919853,0.443463609,0.0009896360000000001,1.5406174845609748e-16,41664
12,factorial_float64,5,5,0.000418864,0.005261845,0.005624953,0.0015353410000000002,4.2086431663757686e-15,3696
12,hahn_float64,5,5,0.007214181,0.0011612130000000001,0.008271716,0.001039962,5.625434883250556e-16,7392
16,permqit,5,5,1.7610228250000002,0.007237716000000001,1.7682942890000002,0.0019492270000000002,1.4455981614083445e-16,111560
16,factorial_float64,5,5,0.00044684700000000005,0.003207259,0.003642829,0.0031321200000000004,4.402106303585129e-14,6192
16,hahn_float64,5,5,0.007353466,0.0021928990000000003,0.009546365000000001,0.0021116250000000002,8.913146661983998e-16,19560
20,permqit,5,5,5.543545137000001,0.008496496000000001,5.552120412000001,0.003415594,1.4688230205118948e-16,246880
20,factorial_float64,5,5,0.000498816,0.005333069,0.005824511,0.005240278,3.3833144426086997e-13,9328
20,hahn_float64,5,5,0.013102226000000002,0.0033002160000000003,0.016395538,0.0029951080000000002,1.117955022192832e-15,42768
